stop_id,stop_name,capacity,latitude,longitude,category
U106030,南海和平路口西南側,19,25.03024,121.50904,高
U106031,莒光和平路口,20,25.03132,121.50745,高
U106037,水源路11-1號旁,19,25.01602,121.52565,中
U106038,南門國中,29,25.03543,121.50834,高
U106039,捷運小南門站(2號出口),18,25.03567,121.51006,中
U106040,介壽公園,23,25.03907,121.5138,中
U106041,中華貴陽街口,20,25.03938,121.50772,高
U106042,華山文創園區,39,25.04367,121.52849,中
U106043,捷運善導寺站(1號出口),33,25.04527,121.5222,中
U106044,濟南紹興路口,39,25.04193,121.52459,高
U106046,林森仁愛路口,13,25.03915,121.52163,中
U106047,中正運動中心,30,25.03786,121.51985,中
U106048,信義杭州路口,47,25.0357,121.5241,高
U106049,捷運善導寺站(3號出口),20,25.04428,121.52336,中
U106050,捷運小南門站(1號出口),46,25.03648,121.50951,高
U106051,延平南路133巷口,17,25.03792,121.50846,高
U106052,捷運西門站(2號出口),36,25.0416,121.50842,中
U106053,寶慶博愛路口,27,25.04129,121.5112,高
U106054,法務部,27,25.03705,121.51249,中
U106055,臺北市立大學(博愛校區),59,25.03545,121.51327,高
U106056,國家圖書館,36,25.03763,121.51709,中
U106057,市民金山路口,30,25.0459,121.53068,中
U106058,聯合醫院和平院區,32,25.03516,121.50641,高
U106059,中山堂,29,25.04412,121.51025,高
U106060,中華漢口街口,19,25.04533,121.50944,中
U106061,中華路一段21巷口,22,25.04677,121.50989,高
U106062,捷運臺大醫院站(4號出口),60,25.04297,121.51643,高
U106063,寶藏巖觀音亭,23,25.01027,121.5331,高
U106064,師大水源路口,21,25.0203,121.52302,中
U106065,中山徐州路口,16,25.04176,121.51866,中
U106066,信義連雲街口,31,25.03377,121.53041,高
U106067,臺北轉運站,68,25.04842,121.51994,高
U106068,莒光大埔街口,32,25.03132,121.50519,高
U106069,捷運忠孝新生站(2號出口),32,25.04235,121.53222,中
U106070,光華商場,28,25.04478,121.53274,中
U106071,中山青島路口,30,25.04503,121.51968,高
U106072,捷運中正紀念堂站(5號出口),29,25.03526,121.5168,中
U106073,北平東杭州北路口,20,25.04553,121.52736,中
